question,answer,context,title
What is the common name for the viral infection varicella zoster?,Chickenpox.,Disease medicine ,Disease medicine 
Which medication is commonly used to manage symptoms of seasonal allergies?,"Antihistamines, such as cetirizine or loratadine.",Disease medicine ,Disease medicine 
What is the primary treatment for hypertension (high blood pressure)?,"Antihypertensive medications, such as ACE inhibitors or diuretics.",Disease medicine ,Disease medicine 
Which medication is used to treat type 2 diabetes by improving insulin sensitivity?,Metformin.,Disease medicine ,Disease medicine 
What is the primary class of medications used to manage symptoms of asthma?,Inhaled corticosteroids.,Disease medicine ,Disease medicine 
Which medication is commonly prescribed to lower cholesterol levels?,"Statins, such as atorvastatin or simvastatin.",Disease medicine ,Disease medicine 
What is the first-line treatment for bacterial infections?,Antibiotics.,Disease medicine ,Disease medicine 
Which medication is used to relieve pain and reduce inflammation in conditions such as arthritis?,"Nonsteroidal anti-inflammatory drugs (NSAIDs), such as ibuprofen or naproxen.",Disease medicine ,Disease medicine 
What is the primary treatment for depression and anxiety disorders?,"Antidepressant medications, such as selective serotonin reuptake inhibitors (SSRIs) or serotonin-norepinephrine reuptake inhibitors (SNRIs).",Disease medicine ,Disease medicine 
Which medication is commonly used to manage symptoms of gastroesophageal reflux disease (GERD)?,"Proton pump inhibitors (PPIs), such as omeprazole or esomeprazole.",Disease medicine ,Disease medicine 
What is the primary treatment for bacterial pneumonia?,"Antibiotics, such as amoxicillin or azithromycin",Disease medicine ,Disease medicine 
Which medication is commonly used to manage symptoms of attention deficit hyperactivity disorder (ADHD)?,"Stimulant medications, such as methylphenidate or amphetamine.",Disease medicine ,Disease medicine 
What is the primary treatment for hypothyroidism?,"Synthetic thyroid hormone replacement, such as levothyroxine.",Disease medicine ,Disease medicine 
Which medication is used to prevent blood clots and reduce the risk of stroke in individuals with atrial fibrillation?,"Anticoagulants, such as warfarin or apixaban",Disease medicine ,Disease medicine 
What is the primary treatment for gastroenteritis (stomach flu)?,Rehydration therapy to replenish fluids and electrolytes.,Disease medicine ,Disease medicine 
Which medication is commonly used to manage symptoms of chronic obstructive pulmonary disease (COPD)?,"Bronchodilators, such as tiotropium or albuterol.",Disease medicine ,Disease medicine 
What is the first-line treatment for uncomplicated urinary tract infections (UTIs)?,"Antibiotics, such as trimethoprim-sulfamethoxazole or nitrofurantoin.",Disease medicine ,Disease medicine 
Which medication is used to control seizures and manage epilepsy?,"Anticonvulsant medications, such as carbamazepine or valproic acid.",Disease medicine ,Disease medicine 
What is the primary treatment for gastroesophageal reflux disease (GERD) that does not respond to PPIs?,"urgical intervention, such as fundoplication.",Disease medicine ,Disease medicine 
Which medication is commonly prescribed to manage symptoms of chronic pain?,"Opioids, such as oxycodone or morphine.",Disease medicine ,Disease medicine 
What is the primary treatment for an acute myocardial infarction (heart attack)?,"Emergency medical intervention, followed by medications like aspirin, beta-blockers, and statins.",Disease medicine ,Disease medicine 
Which medication is commonly used to manage symptoms of bipolar disorder?,"mood stabilizers such as,lithium or valproic acid",Disease medicine ,Disease medicine 
"What is the primary treatment for gastroenteritis caused by bacteria, such as Salmonella or E. coli?",Antibiotics specific to the bacterial strain causing the infection.,Disease medicine ,Disease medicine 
Which medication is commonly used to manage symptoms of rheumatoid arthritis?,"Disease-modifying antirheumatic drugs (DMARDs), such as methotrexate or sulfasalazine.",Disease medicine ,Disease medicine 
What is the primary treatment for chronic hepatitis C?,"Antiviral medications, such as direct-acting antivirals (DAAs).",Disease medicine ,Disease medicine 
Which medication is commonly prescribed to manage symptoms of migraines?,"Triptans, such as sumatriptan or rizatriptan.",Disease medicine ,Disease medicine 
What is the primary treatment for deep vein thrombosis (DVT)?,"Anticoagulant medications, such as heparin or rivaroxaban.",Disease medicine ,Disease medicine 
Which medication is used to manage symptoms of Parkinson's disease?,"Dopamine agonists, such as levodopa-carbidopa or pramipexole.",Disease medicine ,Disease medicine 
What is the first-line treatment for Helicobacter pylori infection (causing peptic ulcers)?,"Combination therapy with antibiotics, such as amoxicillin, clarithromycin, and a proton pump inhibitor (PPI).",Disease medicine ,Disease medicine 
Which medication is commonly used to manage symptoms of chronic heart failure?,"Angiotensin-converting enzyme (ACE) inhibitors or angiotensin receptor blockers (ARBs), such as lisinopril or valsartan.",Disease medicine ,Disease medicine 
What is the primary treatment for urinary incontinence?,"Medications that help strengthen the muscles controlling urination, such as anticholinergic drugs or mirabegron.",Disease medicine ,Disease medicine 
Which medication is commonly prescribed to manage symptoms of multiple sclerosis?,"Disease-modifying therapies (DMTs), such as interferons or glatiramer acetate.",Disease medicine ,Disease medicine 
What is the primary treatment for an acute asthma attack?,"Short-acting beta-agonists, such as albuterol, delivered via inhalation.",Disease medicine ,Disease medicine 
Which medication is used to manage symptoms of Alzheimer's disease?,"Cholinesterase inhibitors, such as donepezil or rivastigmine.",Disease medicine ,Disease medicine 
What is the first-line treatment for urinary tract stones (kidney stones)?,"Pain management with nonsteroidal anti-inflammatory drugs (NSAIDs) and increased fluid intake for smaller stones, or surgical intervention for larger stones.",Disease medicine ,Disease medicine 
Which medication is commonly used to manage symptoms of depression in children and adolescents?,"Selective serotonin reuptake inhibitors (SSRIs), such as fluoxetine or sertraline.",Disease medicine ,Disease medicine 
What is the primary treatment for glaucoma?,"Topical medications that reduce intraocular pressure, such as prostaglandin analogs or beta-blockers.",Disease medicine ,Disease medicine 
Which medication is used to manage symptoms of HIV/AIDS?,"Antiretroviral therapy (ART), typically involving a combination of different classes of antiretroviral drugs.",Disease medicine ,Disease medicine 
What is the first-line treatment for primary dysmenorrhea (painful menstrual cramps)?,"Nonsteroidal anti-inflammatory drugs (NSAIDs), such as ibuprofen or naproxen.",Disease medicine ,Disease medicine 
Which medication is commonly prescribed to manage symptoms of attention-deficit/hyperactivity disorder (ADHD) in adults?,"Stimulant medications, such as methylphenidate or amphetamine derivatives",Disease medicine ,Disease medicine 
What is the primary treatment for an acute gout attack?,"Nonsteroidal anti-inflammatory drugs (NSAIDs), col",Disease medicine ,Disease medicine 
