question,answer,context,title
What is the common name for the viral infection varicella zoster?,Chickenpox.,Disease medicine ,Disease medicine 
Which medication is commonly used to manage symptoms of seasonal allergies?,"Antihistamines, such as cetirizine or loratadine.",Disease medicine ,Disease medicine 
What is the primary treatment for hypertension (high blood pressure)?,"Antihypertensive medications, such as ACE inhibitors or diuretics.",Disease medicine ,Disease medicine 
Which medication is used to treat type 2 diabetes by improving insulin sensitivity?,Metformin.,Disease medicine ,Disease medicine 
What is the primary class of medications used to manage symptoms of asthma?,Inhaled corticosteroids.,Disease medicine ,Disease medicine 
Which medication is commonly prescribed to lower cholesterol levels?,"Statins, such as atorvastatin or simvastatin.",Disease medicine ,Disease medicine 
What is the first-line treatment for bacterial infections?,Antibiotics.,Disease medicine ,Disease medicine 
Which medication is used to relieve pain and reduce inflammation in conditions such as arthritis?,"Nonsteroidal anti-inflammatory drugs (NSAIDs), such as ibuprofen or naproxen.",Disease medicine ,Disease medicine 
What is the primary treatment for depression and anxiety disorders?,"Antidepressant medications, such as selective serotonin reuptake inhibitors (SSRIs) or serotonin-norepinephrine reuptake inhibitors (SNRIs).",Disease medicine ,Disease medicine 
Which medication is commonly used to manage symptoms of gastroesophageal reflux disease (GERD)?,"Proton pump inhibitors (PPIs), such as omeprazole or esomeprazole.",Disease medicine ,Disease medicine 
What is the primary treatment for bacterial pneumonia?,"Antibiotics, such as amoxicillin or azithromycin",Disease medicine ,Disease medicine 
Which medication is commonly used to manage symptoms of attention deficit hyperactivity disorder (ADHD)?,"Stimulant medications, such as methylphenidate or amphetamine.",Disease medicine ,Disease medicine 
What is the primary treatment for hypothyroidism?,"Synthetic thyroid hormone replacement, such as levothyroxine.",Disease medicine ,Disease medicine 
Which medication is used to prevent blood clots and reduce the risk of stroke in individuals with atrial fibrillation?,"Anticoagulants, such as warfarin or apixaban",Disease medicine ,Disease medicine 
What is the primary treatment for gastroenteritis (stomach flu)?,Rehydration therapy to replenish fluids and electrolytes.,Disease medicine ,Disease medicine 
Which medication is commonly used to manage symptoms of chronic obstructive pulmonary disease (COPD)?,"Bronchodilators, such as tiotropium or albuterol.",Disease medicine ,Disease medicine 
What is the first-line treatment for uncomplicated urinary tract infections (UTIs)?,"Antibiotics, such as trimethoprim-sulfamethoxazole or nitrofurantoin.",Disease medicine ,Disease medicine 
Which medication is used to control seizures and manage epilepsy?,"Anticonvulsant medications, such as carbamazepine or valproic acid.",Disease medicine ,Disease medicine 
What is the primary treatment for gastroesophageal reflux disease (GERD) that does not respond to PPIs?,"urgical intervention, such as fundoplication.",Disease medicine ,Disease medicine 
Which medication is commonly prescribed to manage symptoms of chronic pain?,"Opioids, such as oxycodone or morphine.",Disease medicine ,Disease medicine 
What is the primary treatment for an acute myocardial infarction (heart attack)?,"Emergency medical intervention, followed by medications like aspirin, beta-blockers, and statins.",Disease medicine ,Disease medicine 
Which medication is commonly used to manage symptoms of bipolar disorder?,"mood stabilizers such as,lithium or valproic acid",Disease medicine ,Disease medicine 
"What is the primary treatment for gastroenteritis caused by bacteria, such as Salmonella or E. coli?",Antibiotics specific to the bacterial strain causing the infection.,Disease medicine ,Disease medicine 
Which medication is commonly used to manage symptoms of rheumatoid arthritis?,"Disease-modifying antirheumatic drugs (DMARDs), such as methotrexate or sulfasalazine.",Disease medicine ,Disease medicine 
What is the primary treatment for chronic hepatitis C?,"Antiviral medications, such as direct-acting antivirals (DAAs).",Disease medicine ,Disease medicine 
